scenario_type,duration,nb_nodes,seed,average_total_offers_delay,average_total_demand_delay,txFinality_tmp_normal,count_offers_quantity_ratio,count_demands_quantity_ratio,expired_offers_quantity_ratio,utlisation_ratio
0,1000,4,4.5,22.808562000000002,52.24001,3.680727,0.2604411,0.7395589,0.06849596,0.1007315
0,2000,4,4.5,23.97683,60.04875,3.679314,0.2482643,0.7517357,0.04015723,0.09028359999999999
0,3000,4,4.5,22.05781,63.59939000000001,3.679647,0.2514377,0.7485623,0.015120718,0.09105398
0,4000,4,4.5,21.4954,65.75,3.6796379999999997,0.2526523,0.7473477,0.011732903999999999,0.08784456
0,5000,4,4.5,22.11475,66.15196,3.6891489999999996,0.2496353,0.7503647,0.014160865,0.08422511
1,1000,4,4.5,52.13456,23.208495,3.680727,0.688047,0.31195300000000004,0.42428809999999995,0.10801650999999998
1,2000,4,4.5,53.67832,24.19211,3.679315,0.6175189999999999,0.38248099999999996,0.2674781,0.12204417000000001
1,3000,4,4.5,51.689769999999996,27.18797,3.679647,0.5814566,0.4185434,0.1988147,0.1330651
1,4000,4,4.5,52.5557,28.232319999999998,3.6796379999999997,0.558807,0.441193,0.169575,0.1345633
1,5000,4,4.5,51.65876000000001,27.87909,3.6891489999999996,0.5434229,0.45657709999999996,0.1414873,0.1403982
2,1000,4,4.5,27.16392,22.92879,3.680727,0.5175917,0.4824083,0.09506705,0.255053
2,2000,4,4.5,27.536849999999998,27.930500000000002,3.679315,0.4947045,0.5052955,0.02570883,0.246916
2,3000,4,4.5,29.493720000000003,27.36628,3.679647,0.4937544,0.5062456,0.012311434,0.2481273
2,4000,4,4.5,28.1406,29.04591,3.6796379999999997,0.49337860000000006,0.5066214,0.016493257,0.25123639999999997
2,5000,4,4.5,27.997210000000003,29.37523,3.6891489999999996,0.4871511,0.5128489,0.008722563,0.2528097
